"INFORMATION TYPE","DATE","MARKET PARTICIPANT","FACILITY NAME","FACILITY REGISTRATION STATUS","COMMISSIONING GENERATION FACILITY","FACILITY GENERATION TYPE","EMBEDDED STATUS","MAX GENERATION CAPACITY (MW)","MIN STABLE LOAD (MW)","MAX LOAD CURTAILMENT CAPACITY (MW)","MAX REGULATION CAPACITY (MW)","MAX PRIMARY RESERVE CAPACITY (MW)","MAX SECONDARY RESERVE CAPACITY (MW)","MAX CONTINGENCY RESERVE CAPACITY (MW)","FREQUENCY RESPONSIVE STATUS","LAST CHANGE DATE"
"RC","02 Oct 2021","SENOKO ENERGY PTE LTD","POWSNKO : CCP S1 : SNKCCP1","GRF","-","CCGT/COGEN/TRIGEN","N","425.000","-","-","11.000","44.000","-","170.000","FR","01 Oct 2017"
"RC","02 Oct 2021","SENOKO ENERGY PTE LTD","POWSNKO : CCP S1 : SNKCCP2","GRF","-","CCGT/COGEN/TRIGEN","N","425.000","-","-","11.000","39.380","-","170.000","FR","01 Oct 2017"
"RC","02 Oct 2021","SENOKO ENERGY PTE LTD","POWSNKO : CCP S3 : SNKCCP3","GRF","-","CCGT/COGEN/TRIGEN","N","365.000","-","-","10.000","40.000","-","100.000","FR","01 Oct 2017"
"RC","02 Oct 2021","SENOKO ENERGY PTE LTD","POWSNKO : CCP S3 : SNKCCP4","GRF","-","CCGT/COGEN/TRIGEN","N","365.000","-","-","10.000","45.500","-","100.000","FR","07 Jun 2019"
"RC","02 Oct 2021","SENOKO ENERGY PTE LTD","POWSNKO : CCP S3 : SNKCCP5","GRF","-","CCGT/COGEN/TRIGEN","N","365.000","-","-","10.000","38.000","-","100.000","FR","01 Oct 2017"
"RC","02 Oct 2021","SENOKO ENERGY PTE LTD","POWSNKO : CCP S3 : SNKCCP6","GRF","-","CCGT/COGEN/TRIGEN","N","431.000","-","-","13.000","44.400","-","130.000","FR","05 Jul 2019"
"RC","02 Oct 2021","SENOKO ENERGY PTE LTD","POWSNKO : CCP S3 : SNKCCP7","GRF","-","CCGT/COGEN/TRIGEN","N","431.000","-","-","13.000","39.900","-","130.000","FR","05 Jul 2019"
"RC","02 Oct 2021","SENOKO WASTE TO ENERGY PTE LTD","INC : SNKO : GENR 1","GRF","-","ST","N","55.000","-","-","-","-","-","-","NFR","07 Sep 2009"
"RC","02 Oct 2021","SHELL EASTERN PETROLEUM","AGCSHUL : SH.ULAR : BKOM G1","GRF","-","CCGT/COGEN/TRIGEN","Y","67.800","-","-","-","-","-","-","NFR","29 Jul 2015"
"RC","02 Oct 2021","SHELL EASTERN PETROLEUM","AGCSHUL : SH.ULAR : SHUL G1","GRF","-","CCGT/COGEN/TRIGEN","Y","60.000","-","-","-","-","-","-","NFR","29 Dec 2012"
"RC","02 Oct 2021","SINGAPORE DISTRICT COOLING","IL_SDC : RAFFQB1 : CHL_PLT1","-","-","-","-","-","-","5.000","-","-","-","6.000","-","25 Aug 2021"
"RC","02 Oct 2021","SINGAPORE LNG CORPORATION","AGCSLNG : SLNG : SLNG G1","GRF","-","CCGT/COGEN/TRIGEN","Y","7.800","-","-","-","-","-","-","NFR","01 Apr 2015"
"RC","02 Oct 2021","SINGAPORE LNG CORPORATION","AGCSLNG : SLNG : SLNG G2","GRF","-","CCGT/COGEN/TRIGEN","Y","7.800","-","-","-","-","-","-","NFR","01 Apr 2015"
"RC","02 Oct 2021","SINGAPORE REFINING COMPANY","AGCSRCG : SRC : SRCGTG1","GRF","-","CCGT/COGEN/TRIGEN","Y","37.500","-","-","-","-","-","-","NFR","15 Aug 2017"
"RC","02 Oct 2021","SINGAPORE REFINING COMPANY","AGCSRCG : SRC : SRCGTG2","GRF","-","CCGT/COGEN/TRIGEN","Y","39.450","-","-","-","-","-","-","NFR","03 Oct 2017"
"RC","02 Oct 2021","SP SERVICES LTD","GSF_A : SPSVCS : GENR 1","GSF","-","CCGT/COGEN/TRIGEN","Y","10.628","0.000","-","-","-","-","-","NFR","05 Jul 2018"
"RC","02 Oct 2021","SP SERVICES LTD","IGS_A : SPSVCS : GENR 1","GSF","-","IGS","Y","145.306","0.000","-","-","-","-","-","NFR","17 Apr 2021"
"RC","02 Oct 2021","SP SERVICES LTD","IGS_A : SPSVCS : GENR 2","GSF","-","IGS","Y","3.429","0.000","-","-","-","-","-","NFR","17 Apr 2021"
"RC","02 Oct 2021","SUNSEAP ENERGY VENTURES","AGCESS : ESS : ESSM U1","GRF","-","BATTERY","Y","4.900","-","-","2.400","4.900","-","4.900","FR","29 Jul 2021"
"RC","02 Oct 2021","SUNSEAP LEASING BETA PTE LTD","IGS : 15CHNBDR : PV CBDR1","GSF","-","IGS","Y","0.864","0.000","-","-","-","-","-","NFR","19 Sep 2018"
"RC","02 Oct 2021","SUNSEAP LEASING BETA PTE LTD","IGS : 16TUASA7 : PV TUAS7","GSF","-","IGS","Y","0.360","0.000","-","-","-","-","-","NFR","19 Sep 2018"
"RC","02 Oct 2021","SUNSEAP LEASING BETA PTE LTD","IGS : J.PORTRD : PV JP1","GSF","-","IGS","Y","9.131","0.000","-","-","-","-","-","NFR","25 Mar 2020"
"RC","02 Oct 2021","SUNSEAP LEASING BETA PTE LTD","IGS : JLNBNLY : PV JBL1","GSF","-","IGS","Y","2.340","0.000","-","-","-","-","-","NFR","04 Apr 2018"
"RC","02 Oct 2021","SUNSEAP LEASING PTE LTD","IGS : 31ATPVAL : PV OFWLD","GSF","-","IGS","N","3.600","0.000","-","-","-","-","-","NFR","03 Jun 2021"
"RC","02 Oct 2021","SUNSEAP LEASING PTE LTD","IGS : 501CCKR : PV HTA01","GSF","-","IGS","Y","1.219","0.000","-","-","-","-","-","NFR","07 Jun 2019"
"RC","02 Oct 2021","SUNSEAP LEASING PTE LTD","IGS : BDOKSTH : PV BDK1","GSF","-","IGS","Y","1.003","0.000","-","-","-","-","-","NFR","09 May 2018"
"RC","02 Oct 2021","SUNSEAP LEASING PTE LTD","IGS : PNRSECT : PV 3PS3","GSF","-","IGS","Y","1.518","0.000","-","-","-","-","-","NFR","20 Jul 2016"
"RC","02 Oct 2021","TERRENUS ENERGY PTE LTD","IGS : MK34SERP : PV JSLP1","GSF","-","IGS","N","4.650","0.000","-","-","-","-","-","NFR","13 Jun 2019"
"RC","02 Oct 2021","TP UTILITIES PTE LTD","AGCTMUC : TEMBUSU : TMUC G1","GRF","-","CCGT/COGEN/TRIGEN","N","101.000","-","-","3.000","11.680","-","20.000","FR","01 Oct 2017"
"RC","02 Oct 2021","TP UTILITIES PTE LTD","AGCTMUC : TEMBUSU : TMUC G2","GRF","-","CCGT/COGEN/TRIGEN","Y","32.500","-","-","-","-","-","-","NFR","30 May 2014"
"RC","02 Oct 2021","TUAS DBOO TRUST","INC : KEPPEL : GENR","GRF","-","ST","N","22.000","-","-","-","-","-","-","NFR","29 Jun 2010"
"RC","02 Oct 2021","TUAS POWER GENERATION PTE LTD","TUASPOW : STAGE2 : TUASCCP1","GRF","-","CCGT/COGEN/TRIGEN","N","360.000","-","-","18.000","43.300","-","160.000","FR","01 Jul 2019"
"RC","02 Oct 2021","TUAS POWER GENERATION PTE LTD","TUASPOW : STAGE2 : TUASCCP2","GRF","-","CCGT/COGEN/TRIGEN","N","360.000","-","-","18.000","38.300","-","160.000","FR","01 Jul 2019"
"RC","02 Oct 2021","TUAS POWER GENERATION PTE LTD","TUASPOW : STAGE2 : TUASCCP3","GRF","-","CCGT/COGEN/TRIGEN","N","360.000","-","-","18.000","33.800","-","160.000","FR","01 Oct 2017"
"RC","02 Oct 2021","TUAS POWER GENERATION PTE LTD","TUASPOW : STAGE2 : TUASCCP4","GRF","-","CCGT/COGEN/TRIGEN","N","360.000","-","-","18.000","39.500","-","160.000","FR","30 Jul 2019"
"RC","02 Oct 2021","TUAS POWER GENERATION PTE LTD","TUASPOW : STAGE2 : TUASCCP5","GRF","-","CCGT/COGEN/TRIGEN","N","405.900","-","-","15.000","45.130","-","151.835","FR","01 Oct 2017"
"RC","02 Oct 2021","TUASONE PTE LTD","AGCTWTE : TUAS1WTE : TWTE G1","GRF","Y","ST","N","66.700","-","-","-","-","-","-","NFR","03 Sep 2021"
"RC","02 Oct 2021","TUASONE PTE LTD","AGCTWTE : TUAS1WTE : TWTE G2","GRF","Y","ST","N","66.700","-","-","-","-","-","-","NFR","03 Sep 2021"
"RC","02 Oct 2021","TUASPRING PTE LTD","AGCTSPG : TUASPRNG : TSPBLK1","GRF","-","CCGT/COGEN/TRIGEN","N","395.700","-","-","13.000","48.790","-","121.460","FR","01 Oct 2017"
"RC","02 Oct 2021","YTL POWERSERAYA PTE LIMITED","POWSERY : CCP S1 : SERCCP1","GRF","-","CCGT/COGEN/TRIGEN","N","368.000","-","-","13.000","34.600","-","50.000","FR","05 Sep 2019"
"RC","02 Oct 2021","YTL POWERSERAYA PTE LIMITED","POWSERY : CCP S1 : SERCCP2","GRF","-","CCGT/COGEN/TRIGEN","N","364.000","-","-","13.000","36.700","-","50.000","FR","05 Sep 2019"
"RC","02 Oct 2021","YTL POWERSERAYA PTE LIMITED","POWSERY : CCP S2 : SERCCP3","GRF","-","CCGT/COGEN/TRIGEN","N","370.000","-","-","13.000","35.470","-","50.000","FR","01 Oct 2017"
"RC","02 Oct 2021","YTL POWERSERAYA PTE LIMITED","POWSERY : CCP S2 : SERCCP4","GRF","-","CCGT/COGEN/TRIGEN","N","370.000","-","-","13.000","37.690","-","50.000","FR","01 Oct 2017"
"RC","02 Oct 2021","YTL POWERSERAYA PTE LIMITED","POWSERY : JPS.II : JUR GT1","GRF","-","GT","N","90.000","30.000","-","-","-","-","50.000","NFR","15 Dec 2015"
"RC","02 Oct 2021","YTL POWERSERAYA PTE LIMITED","POWSERY : JPS.II : JUR GT2","GRF","-","GT","N","90.000","30.000","-","-","-","-","50.000","NFR","15 Dec 2015"
"RC","02 Oct 2021","YTL POWERSERAYA PTE LIMITED","POWSERY : STAGE1 : SER G1","GRF","-","ST","N","250.000","-","-","7.500","27.500","-","75.000","FR","01 Oct 2017"
"RC","02 Oct 2021","YTL POWERSERAYA PTE LIMITED","POWSERY : STAGE1 : SER G2","GRF","-","ST","N","250.000","-","-","7.500","27.030","-","75.000","FR","01 Oct 2017"
"RC","02 Oct 2021","YTL POWERSERAYA PTE LIMITED","POWSERY : STAGE1 : SER G3","GRF","-","ST","N","250.000","-","-","7.500","23.190","-","75.000","FR","01 Oct 2017"
"RC","03 Oct 2021","AIR LIQUIDE SINGAPORE PTE LTD","DG : SOXHYD : GENR 2","GRF","-","ST","Y","13.600","-","-","-","-","-","-","NFR","29 Mar 2017"
"RC","03 Oct 2021","CLEANTECH SOLAR SGP ASSETS","IGS : 26TUAS12 : PV CTC1","GSF","-","IGS","Y","0.150","0.000","-","-","-","-","-","NFR","19 Mar 2019"
"RC","03 Oct 2021","CLEANTECH SOLAR SGP ASSETS","IGS : 6TSTH15 : PV CDT1","GSF","-","IGS","N","0.500","0.000","-","-","-","-","-","NFR","19 Nov 2019"
"RC","03 Oct 2021","CLEANTECH SOLAR SGP ASSETS","IGS : JKCIR : PV YMZ1","GSF","-","IGS","Y","1.260","0.000","-","-","-","-","-","NFR","20 Oct 2017"
"RC","03 Oct 2021","ENEL X SINGAPORE PTE LTD","IL_AIRLI : AYMB_RD : COMP","-","-","-","-","-","-","0.000","-","-","-","1.900","-","22 Oct 2020"
"RC","03 Oct 2021","EXXONMOBIL ASIA PACIFIC","AGCEXXON : EXXON : EXON G3","GRF","-","CCGT/COGEN/TRIGEN","Y","110.000","-","-","-","-","-","-","NFR","30 Apr 2013"
"RC","03 Oct 2021","EXXONMOBIL ASIA PACIFIC","AGCEXXON : EXXON : EXON G4","GRF","-","CCGT/COGEN/TRIGEN","Y","110.000","-","-","-","-","-","-","NFR","30 Apr 2013"
"RC","03 Oct 2021","EXXONMOBIL ASIA PACIFIC","AGCEXXON : EXXON : EXON GA","GRF","-","CCGT/COGEN/TRIGEN","Y","40.300","-","-","-","-","-","-","NFR","01 Jun 2018"
"RC","03 Oct 2021","EXXONMOBIL ASIA PACIFIC","AGCEXXON : EXXON : EXON GB","GRF","-","CCGT/COGEN/TRIGEN","Y","40.300","-","-","-","-","-","-","NFR","01 Jun 2018"
"RC","03 Oct 2021","GREEN POWER ASIA PTE LTD","DG : GPAFOL : GENR","GSF","-","CCGT/COGEN/TRIGEN","Y","7.960","0.000","-","-","-","-","-","NFR","20 Apr 2016"
"RC","03 Oct 2021","JE GREEN SOLUTIONS PTE LTD","DG : CGNPCB : GENR","GSF","-","CCGT/COGEN/TRIGEN","N","9.900","0.000","-","-","-","-","-","NFR","07 Jun 2019"
"RC","03 Oct 2021","JUST ELECTRIC PTE LTD","IL_TJK : MELTSHOP : DR NATS1","-","-","-","-","-","-","35.000","-","-","-","-","-","05 Dec 2019"
"RC","03 Oct 2021","KEPPEL MERLIMAU COGEN","AGCKMCG : KEPPEL : KMCBLK1","GRF","-","CCGT/COGEN/TRIGEN","N","245.000","-","-","8.500","29.400","-","86.900","FR","01 Oct 2017"
"RC","03 Oct 2021","KEPPEL MERLIMAU COGEN","AGCKMCG : KEPPEL : KMCBLK2","GRF","-","CCGT/COGEN/TRIGEN","N","245.000","-","-","8.500","27.000","-","89.900","FR","01 Oct 2017"
"RC","03 Oct 2021","KEPPEL MERLIMAU COGEN","AGCKMCG : KEPPEL : KMCBLK3","GRF","-","CCGT/COGEN/TRIGEN","N","410.000","-","-","15.000","49.760","-","144.010","FR","01 Oct 2017"
"RC","03 Oct 2021","KEPPEL MERLIMAU COGEN","AGCKMCG : KEPPEL : KMCBLK4","GRF","-","CCGT/COGEN/TRIGEN","N","410.000","-","-","15.000","48.210","-","143.800","FR","01 Oct 2017"
"RC","03 Oct 2021","LYS GENCO BETA PTE LTD","IGS : SELETAR : PV RR1","GSF","-","IGS","Y","1.860","0.000","-","-","-","-","-","NFR","15 Aug 2017"
"RC","03 Oct 2021","MSD INTERNATIONAL GMBH SG","DG : SCHPLG : GENR 1","GSF","-","CCGT/COGEN/TRIGEN","Y","4.800","0.000","-","-","-","-","-","NFR","20 Apr 2016"
"RC","03 Oct 2021","MSD INTERNATIONAL GMBH SG","DG : SCHPLG : GENR 2","GSF","-","CCGT/COGEN/TRIGEN","Y","4.800","0.000","-","-","-","-","-","NFR","20 Apr 2016"
"RC","03 Oct 2021","NATIONAL ENVIRONMENT AGENCY","ENV : TUAS : GENR1","GRF","-","ST","N","47.800","-","-","-","-","-","-","NFR","29 Jul 2003"
"RC","03 Oct 2021","NATIONAL ENVIRONMENT AGENCY","ENV : TUASSTH : GENR1","GRF","-","ST","N","132.000","-","-","-","-","-","-","NFR","29 Jul 2003"
"RC","03 Oct 2021","PACIFICLIGHT POWER PTE LTD","AGCPACL : PACLIGHT : PACLBLK1","GRF","-","CCGT/COGEN/TRIGEN","N","400.000","-","-","13.000","37.150","-","128.000","FR","01 Oct 2017"
"RC","03 Oct 2021","PACIFICLIGHT POWER PTE LTD","AGCPACL : PACLIGHT : PACLBLK2","GRF","-","CCGT/COGEN/TRIGEN","N","400.000","-","-","13.000","38.700","-","132.500","FR","01 Oct 2017"
"RC","03 Oct 2021","PUBLIC UTILITIES BOARD","IGS : TENG_RES : PV PUB1","GSF","-","IGS","N","0.803","0.000","-","-","-","-","-","NFR","09 Nov 2017"
"RC","03 Oct 2021","SEMBCORP COGEN","AGCSKCG : SAKRA : SKRA G1","GRF","-","CCGT/COGEN/TRIGEN","N","392.500","-","-","10.000","40.000","-","100.000","FR","01 Oct 2017"
"RC","03 Oct 2021","SEMBCORP COGEN","AGCSKCG : SAKRA : SKRA G2","GRF","-","CCGT/COGEN/TRIGEN","N","392.500","-","-","10.000","42.000","-","100.000","FR","01 Oct 2017"
"RC","03 Oct 2021","SEMBCORP COGEN","AGCSMBG : BANYAN : SEMBCCP3","GRF","-","CCGT/COGEN/TRIGEN","N","403.800","-","-","15.000","50.100","-","150.000","FR","01 Oct 2017"
"RC","03 Oct 2021","SEMBCORP FLOATING SOLAR SG","IGS : 500JAI : PV TGH","GSF","Y","IGS","N","40.000","0.000","-","-","-","-","-","NFR","16 Jun 2021"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 10AMK : PV ACD2","GSF","-","IGS","Y","0.300","0.000","-","-","-","-","-","NFR","17 Jan 2020"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 10CHGEC : PV NWTR1","GSF","-","IGS","Y","0.953","0.000","-","-","-","-","-","NFR","13 Jun 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 19LYW : PV STI1","GSF","-","IGS","Y","0.720","0.000","-","-","-","-","-","NFR","25 Oct 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 19TUSA20 : PV HTT1","GSF","-","IGS","Y","0.432","0.000","-","-","-","-","-","NFR","19 Sep 2018"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 1CBPRK : PV ACD1","GSF","-","IGS","Y","0.120","0.000","-","-","-","-","-","NFR","06 Dec 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 1CHANNW : PV AGL3","GSF","-","IGS","Y","0.516","0.000","-","-","-","-","-","NFR","04 Feb 2020"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 21LYW : PV STI2","GSF","-","IGS","Y","1.020","0.000","-","-","-","-","-","NFR","25 Oct 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 24PENJ : PV CLT1","GSF","-","IGS","Y","5.280","0.000","-","-","-","-","-","NFR","08 Aug 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 2SERPL : PV BTSC1","GSF","-","IGS","Y","0.960","0.000","-","-","-","-","-","NFR","11 Jan 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 2SNKSTH : PV ACD6","GSF","-","IGS","Y","0.240","0.000","-","-","-","-","-","NFR","06 Mar 2020"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 315JAIB : PV HBTN1","GSF","-","IGS","Y","1.260","0.000","-","-","-","-","-","NFR","16 Apr 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 32JRGPRT : PV HCC1","GSF","-","IGS","Y","0.216","0.000","-","-","-","-","-","NFR","03 Oct 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 3CHANRTH : PV ACD3","GSF","-","IGS","Y","1.440","0.000","-","-","-","-","-","NFR","17 Jan 2020"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 40PENJL : PV ACD4","GSF","-","IGS","Y","4.812","0.000","-","-","-","-","-","NFR","04 Feb 2020"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 49PAND : PV CLT2","GSF","-","IGS","Y","0.660","0.000","-","-","-","-","-","NFR","08 Aug 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 5BUROHL : PV SEJF1","GSF","-","IGS","Y","0.660","0.000","-","-","-","-","-","NFR","11 Jan 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 5CHANNW : PV AGL4","GSF","-","IGS","Y","0.576","0.000","-","-","-","-","-","NFR","04 Feb 2020"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 5CHASL : PV CLT3","GSF","-","IGS","Y","0.720","0.000","-","-","-","-","-","NFR","16 Aug 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 6CHANRTH : PV AGL1","GSF","-","IGS","Y","0.816","0.000","-","-","-","-","-","NFR","17 Jan 2020"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 7TTL : PV AGL2","GSF","-","IGS","Y","0.120","0.000","-","-","-","-","-","NFR","17 Jan 2020"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 83JKC : PV CPRN2","GSF","-","IGS","Y","0.840","0.000","-","-","-","-","-","NFR","25 Jul 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 8BULIMAV : PV SCC1","GSF","-","IGS","Y","2.220","0.000","-","-","-","-","-","NFR","22 Feb 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 90INTRD : PV CPRN1","GSF","-","IGS","Y","0.600","0.000","-","-","-","-","-","NFR","17 Jul 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 9APR : PV CEC1","GSF","-","IGS","Y","5.280","0.000","-","-","-","-","-","NFR","15 Nov 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : 9CHGSTH : PV ACD5","GSF","-","IGS","Y","0.660","0.000","-","-","-","-","-","NFR","06 Mar 2020"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : BDKSTH1 : PV KSL1","GSF","-","IGS","Y","0.156","0.000","-","-","-","-","-","NFR","22 Oct 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : CHNGNTH : PV SASC1","GSF","-","IGS","Y","2.016","0.000","-","-","-","-","-","NFR","31 Jan 2018"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : JLN.IBR : PV APB1","GSF","-","IGS","Y","1.560","0.000","-","-","-","-","-","NFR","25 Aug 2017"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : SELETAR : PV STAE1","GSF","-","IGS","Y","1.728","0.000","-","-","-","-","-","NFR","27 Mar 2018"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : TUASLK4 : PV 3MIS1","GSF","-","IGS","Y","1.980","0.000","-","-","-","-","-","NFR","29 Jun 2018"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : TUASSTH : PV HBTN2","GSF","-","IGS","Y","3.852","0.000","-","-","-","-","-","NFR","09 May 2019"
"RC","03 Oct 2021","SEMBCORP SOLAR SINGAPORE","IGS : TWEST37 : PV KSL2","GSF","-","IGS","Y","1.320","0.000","-","-","-","-","-","NFR","01 Nov 2019"
"RC","03 Oct 2021","SENOKO ENERGY PTE LTD","POWSNKO : CCP S1 : SNKCCP1","GRF","-","CCGT/COGEN/TRIGEN","N","425.000","-","-","11.000","44.000","-","170.000","FR","01 Oct 2017"
"RC","03 Oct 2021","SENOKO ENERGY PTE LTD","POWSNKO : CCP S1 : SNKCCP2","GRF","-","CCGT/COGEN/TRIGEN","N","425.000","-","-","11.000","39.380","-","170.000","FR","01 Oct 2017"
"RC","03 Oct 2021","SENOKO ENERGY PTE LTD","POWSNKO : CCP S3 : SNKCCP3","GRF","-","CCGT/COGEN/TRIGEN","N","365.000","-","-","10.000","40.000","-","100.000","FR","01 Oct 2017"
"RC","03 Oct 2021","SENOKO ENERGY PTE LTD","POWSNKO : CCP S3 : SNKCCP4","GRF","-","CCGT/COGEN/TRIGEN","N","365.000","-","-","10.000","45.500","-","100.000","FR","07 Jun 2019"
"RC","03 Oct 2021","SENOKO ENERGY PTE LTD","POWSNKO : CCP S3 : SNKCCP5","GRF","-","CCGT/COGEN/TRIGEN","N","365.000","-","-","10.000","38.000","-","100.000","FR","01 Oct 2017"
"RC","03 Oct 2021","SENOKO ENERGY PTE LTD","POWSNKO : CCP S3 : SNKCCP6","GRF","-","CCGT/COGEN/TRIGEN","N","431.000","-","-","13.000","44.400","-","130.000","FR","05 Jul 2019"
"RC","03 Oct 2021","SENOKO ENERGY PTE LTD","POWSNKO : CCP S3 : SNKCCP7","GRF","-","CCGT/COGEN/TRIGEN","N","431.000","-","-","13.000","39.900","-","130.000","FR","05 Jul 2019"
"RC","03 Oct 2021","SENOKO WASTE TO ENERGY PTE LTD","INC : SNKO : GENR 1","GRF","-","ST","N","55.000","-","-","-","-","-","-","NFR","07 Sep 2009"
"RC","03 Oct 2021","SHELL EASTERN PETROLEUM","AGCSHUL : SH.ULAR : BKOM G1","GRF","-","CCGT/COGEN/TRIGEN","Y","67.800","-","-","-","-","-","-","NFR","29 Jul 2015"
